,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Component 2,Role 2,Mole Fraction 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source,Exact Amount 1,Exact Amount 2
0,-7113071311477908938,298.15,101.325,Liquid,1,CCCCN,Solvent,1.0,,,,,,0.7322310000000002,0.000886,10.1021/acs.jced.5b00802,,
1,-5187617237272931023,298.15,101.325,Liquid,1,CC(=O)CC(C)=O,Solvent,1.0,,,,,,0.9721000000000004,0.0013,10.1016/j.fluid.2007.12.008,,
2,8882143389622974978,298.15,101.325,Liquid,1,OCCCCO,Solvent,1.0,,,,,,1.0129600000000003,0.005,10.1021/acs.jced.6b00092,,
3,-6050800059766064037,298.15,101.325,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,1.1009000000000004,0.0057,10.1016/j.jct.2005.12.009,,
4,-3931229230840543424,298.15,101.325,Liquid,1,Cc1ccccc1,Solvent,1.0,,,,,,0.8623460000000002,0.012208,10.1016/j.jct.2012.07.006,,
5,2325331591338422858,298.15,101.325,Liquid,1,CC(C)=O,Solvent,1.0,,,,,,0.7843000000000001,0.001,10.1021/je500418f,,
6,6578771278126129331,298.15,101.325,Liquid,1,C1CCCC1,Solvent,1.0,,,,,,0.7378000000000001,0.0008,10.1016/j.fluid.2013.10.057,,
7,-4770765282718661505,298.15,101.325,Liquid,1,C1COCO1,Solvent,1.0,,,,,,1.05862,0.002515,10.1016/j.jct.2003.09.001,,
8,-1707608689366619724,298.15,101.325,Liquid,1,CCCCCl,Solvent,1.0,,,,,,0.8811720000000003,0.001121,10.1016/j.fluid.2012.10.015,,
9,-3723808973045224952,298.15,101.325,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,0.8364500000000002,0.000585,10.1016/j.jct.2006.10.003,,
10,6857276990652836599,298.15,101.325,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,0.7238000000000001,0.003005,10.1021/acs.jced.5b00527,,
11,-6665721896626850823,298.15,101.325,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,0.8711300000000002,0.000525,10.1016/j.jct.2006.10.003,,
12,8175962177817951433,298.15,101.325,Liquid,1,CC(C)O,Solvent,1.0,,,,,,0.7827000000000003,0.02,10.1016/j.fluid.2013.11.008,,
13,-4117616109487691442,298.15,101.325,Liquid,1,COC(C)(C)C,Solvent,1.0,,,,,,0.7347000000000002,0.001,10.1021/je060025z,,
14,-5090521375291944609,298.15,101.325,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,0.8740000000000002,0.01,10.1021/acs.jced.5b00542,,
15,6351071835131562876,298.15,101.325,Liquid,1,CCc1ccccc1,Solvent,1.0,,,,,,0.8625100000000002,0.005,10.1021/acs.jced.6b00112,,
16,6416083829522985737,298.15,101.325,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,,,,,,0.6878100000000001,0.008,10.1021/acs.jced.6b00019,,
17,-5009253708887831495,298.15,101.325,Liquid,1,CC(C)(C)O,Solvent,1.0,,,,,,0.7808600000000002,0.008,10.1021/acs.jced.6b00019,,
18,7800731965666298416,298.15,101.325,Liquid,1,ClCCCl,Solvent,1.0,,,,,,1.2474000000000005,0.0043,10.1021/je900212d,,
19,-2879114042359507353,298.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,0.7859000000000002,0.02,10.1016/j.fluid.2013.11.008,,
20,-3036678211905033984,297.98,101.325,Liquid,1,BrCCCBr,Solvent,1.0,,,,,,1.9702200000000003,0.0006,10.1007/s10765-009-0610-6,,
21,1262181940357154362,298.15,101.325,Liquid,1,CCN(CC)CC,Solvent,1.0,,,,,,0.7233000000000002,0.00035,10.1021/je030147g,,
22,3662794399127694457,298.15,101.325,Liquid,1,CCCCCCCl,Solvent,1.0,,,,,,0.8732100000000003,0.00052,10.1016/j.jct.2007.01.017,,
23,-5564340251081737538,298.15,101.325,Liquid,1,CCCCCCCCCl,Solvent,1.0,,,,,,0.8689800000000002,0.00104,10.1016/j.jct.2007.01.017,,
24,-3732450117276082244,298.15,101.325,Liquid,1,O=Cc1ccccc1,Solvent,1.0,,,,,,1.0470000000000002,0.0036,10.1021/je900212d,,
25,4885192220460531735,298.15,101.325,Liquid,1,CCCCCC,Solvent,1.0,,,,,,0.6590000000000001,0.01,10.1021/acs.jced.5b00542,,
26,6102465389470915233,298.15,101.325,Liquid,1,CCCCCCCC,Solvent,1.0,,,,,,0.6987500000000002,0.01,10.1016/j.jct.2012.07.006,,
27,7706179468154003347,298.15,101.325,Liquid,1,CC#N,Solvent,1.0,,,,,,0.7811000000000002,0.0064,10.1007/s10765-016-2096-3,,
28,-3361665964379434352,298.15,101.325,Liquid,1,C1CCOCC1,Solvent,1.0,,,,,,0.8791600000000002,0.000885,10.1021/acs.jced.7b01091,,
29,-1065436728214193919,298.15,101.325,Liquid,1,Cc1cccc(C)n1,Solvent,1.0,,,,,,0.9181900000000004,0.000225,10.1021/je200093f,,
30,-3470994328711162781,298.15,101.325,Liquid,1,Nc1ccccc1,Solvent,1.0,,,,,,1.0173,0.00305,10.1016/j.fluid.2010.08.010,,
31,4234693261543825332,298.15,101.325,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,0.9501000000000004,0.0064,10.1007/s10765-016-2096-3,,
32,5012897877435551039,298.15,101.325,Liquid,1,CC(=O)N(C)C,Solvent,1.0,,,,,,0.9502000000000004,0.00645,10.1007/s10765-016-2096-3,,
33,-8293711277660460159,298.15,101.325,Liquid,1,OCCO,Solvent,1.0,,,,,,1.1096,0.0043,10.1021/je100624p,,
34,4752023760964505470,298.15,101.325,Liquid,1,CCCOC(C)=O,Solvent,1.0,,,,,,0.8860000000000002,0.005,10.1021/acs.jced.7b01107,,
35,8635249585144705143,298.15,101.325,Liquid,1,CCOCCO,Solvent,1.0,,,,,,0.9287300000000004,0.001,10.1016/j.fluid.2014.07.041,,
36,-8866785805197711460,298.15,101.325,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,0.7739600000000002,0.01,10.1016/j.jct.2012.07.006,,
37,4305179878045260247,298.15,101.325,Liquid,1,O,Solvent,1.0,,,,,,0.9970500000000002,0.008,10.1021/acs.jced.6b00019,,
38,-5895311960324126332,298.15,101.325,Liquid,1,CCO,Solvent,1.0,,,,,,0.7864000000000002,0.02,10.1016/j.fluid.2013.11.008,,
39,-618958639622583230,298.15,101.325,Liquid,1,COCCOCCO,Solvent,1.0,,,,,,1.0154000000000003,0.001,10.1021/acs.jced.5b00662,,
40,-5410335566180493889,298.15,101.325,Liquid,1,CC(=O)c1ccccc1,Solvent,1.0,,,,,,1.0238000000000005,0.0015,10.1016/j.fluid.2008.07.018,,
41,-8743603541286065718,298.15,101.325,Liquid,1,CCCCO,Solvent,1.0,,,,,,0.8055000000000002,0.02,10.1016/j.fluid.2013.11.008,,
42,-6638028582015017334,298.15,101.325,Liquid,1,CCOC(C)(C)C,Solvent,1.0,,,,,,0.7354400000000002,0.000175,10.1016/j.fluid.2007.04.009,,
