,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
0,2276010420888753512,298.15,101.0,Liquid,1,CCCCN,Solvent,1.0,,,,,,0.7333300000000003,0.00055,,,10.1021/je301167q
1,-6050800059766064037,298.15,101.325,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,1.1009000000000004,0.0057,,,10.1016/j.jct.2005.12.009
2,2325331591338422858,298.15,101.325,Liquid,1,CC(C)=O,Solvent,1.0,,,,,,0.7843000000000001,0.001,,,10.1021/je500418f
3,6578771278126129331,298.15,101.325,Liquid,1,C1CCCC1,Solvent,1.0,,,,,,0.7378000000000001,0.0008,,,10.1016/j.fluid.2013.10.057
4,-4770765282718661505,298.15,101.325,Liquid,1,C1COCO1,Solvent,1.0,,,,,,1.05862,0.002515,,,10.1016/j.jct.2003.09.001
5,-1707608689366619724,298.15,101.325,Liquid,1,CCCCCl,Solvent,1.0,,,,,,0.8811720000000003,0.001121,,,10.1016/j.fluid.2012.10.015
6,-3723808973045224952,298.15,101.325,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,0.8364500000000002,0.000585,,,10.1016/j.jct.2006.10.003
7,6857276990652836599,298.15,101.325,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,0.7238000000000001,0.003005,,,10.1021/acs.jced.5b00527
8,-6665721896626850823,298.15,101.325,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,0.8711300000000002,0.000525,,,10.1016/j.jct.2006.10.003
9,-8823518474569596769,298.15,101.0,Liquid,1,CC(C)O,Solvent,1.0,,,,,,0.7810500000000001,0.00391,,,10.1016/j.jct.2005.06.011
10,-4117616109487691442,298.15,101.325,Liquid,1,COC(C)(C)C,Solvent,1.0,,,,,,0.7347000000000002,0.001,,,10.1021/je060025z
11,1084135834514711771,298.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,0.8736000000000003,0.001685,,,10.1016/j.jct.2006.02.001
12,7857304641325036101,298.15,101.0,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,,,,,,0.6863000000000001,0.00318,,,10.1021/je050333h
13,4893550471210261084,298.15,100.0,Liquid,1,CC(C)(C)O,Solvent,1.0,,,,,,0.7806100000000002,0.002005,,,10.1016/j.jct.2019.01.025
14,-5994977049917306847,293.15,101.0,Liquid,1,ClCCCl,Solvent,1.0,,,,,,1.2527660000000005,0.000298,,,10.1007/s10765-010-0874-x
15,-2879114042359507353,298.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,0.7859000000000002,0.02,,,10.1016/j.fluid.2013.11.008
16,-3036678211905033984,297.98,101.325,Liquid,1,BrCCCBr,Solvent,1.0,,,,,,1.9702200000000003,0.0006,,,10.1007/s10765-009-0610-6
17,1262181940357154362,298.15,101.325,Liquid,1,CCN(CC)CC,Solvent,1.0,,,,,,0.7233000000000002,0.00035,,,10.1021/je030147g
18,-3732450117276082244,298.15,101.325,Liquid,1,O=Cc1ccccc1,Solvent,1.0,,,,,,1.0470000000000002,0.0036,,,10.1021/je900212d
19,7706179468154003347,298.15,101.325,Liquid,1,CC#N,Solvent,1.0,,,,,,0.7811000000000002,0.0064,,,10.1007/s10765-016-2096-3
20,-3361665964379434352,298.15,101.325,Liquid,1,C1CCOCC1,Solvent,1.0,,,,,,0.8791600000000002,0.000885,,,10.1021/acs.jced.7b01091
21,-3470994328711162781,298.15,101.325,Liquid,1,Nc1ccccc1,Solvent,1.0,,,,,,1.0173,0.00305,,,10.1016/j.fluid.2010.08.010
22,1421308473943555012,298.15,101.0,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,0.9442600000000002,0.005015,,,10.1021/je4009238
23,-6502913749030134233,303.15,101.325,Liquid,1,CC(=O)N(C)C,Solvent,1.0,,,,,,0.9360000000000004,0.00645,,,10.1007/s10765-016-2096-3
24,-8866785805197711460,298.15,101.325,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,0.7739600000000002,0.01,,,10.1016/j.jct.2012.07.006
25,-6466927862269940267,298.15,101.325,Liquid,1,OC1=NCCC1,Solvent,1.0,,,,,,1.1070190000000002,0.00118,,,10.1021/je0340809
26,-5410335566180493889,298.15,101.325,Liquid,1,CC(=O)c1ccccc1,Solvent,1.0,,,,,,1.0238000000000005,0.0015,,,10.1016/j.fluid.2008.07.018
27,2878971640639700171,298.15,101.0,Liquid,1,C=CCCCC,Solvent,1.0,,,,,,0.6682800000000001,0.000243,,,10.1021/je100595s
28,-3112648199259408520,300.15,101.325,Liquid,1,CNc1ccccc1,Solvent,1.0,,,,,,0.9798000000000002,0.0003,,,10.1016/j.jct.2011.10.028
29,-1889244192021643737,298.15,101.325,Liquid,1,c1cc[nH]c1,Solvent,1.0,,,,,,0.9659000000000002,0.00146,,,10.1021/je8006265
30,7755185954154707034,298.15,101.325,Liquid,1,c1ccncc1,Solvent,1.0,,,,,,0.9782490000000004,0.000511,,,10.1021/je4004965
