,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
56,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.256,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.0343,10.1021/je060026r
57,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4198,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.0698,10.1021/je060026r
58,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.5278,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.1064,10.1021/je060026r
59,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6084,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.1444,10.1021/je060026r
60,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6522,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.1836,10.1021/je060026r
61,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6769,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.2243,10.1021/je060026r
62,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6895,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.2665,10.1021/je060026r
63,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.682,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.3103,10.1021/je060026r
64,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6662,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.3557,10.1021/je060026r
65,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6392,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.4029,10.1021/je060026r
66,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6017,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.452,10.1021/je060026r
67,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.5563,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.503,10.1021/je060026r
68,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4993,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.5562,10.1021/je060026r
69,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4409,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.6116,10.1021/je060026r
70,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3726,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.6694,10.1021/je060026r
71,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3037,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.7297,10.1021/je060026r
72,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2275,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.7927,10.1021/je060026r
73,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1504,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.8586,10.1021/je060026r
74,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0731,"['benzene', '2-butoxyethan-1-ol']",benzene,Mole fraction,0.9277,10.1021/je060026r
